date_time (ISO Year Week),Number of Job Postings over Time
"Oct 31, 2022",439
"Nov 7, 2022",567
"Nov 14, 2022",536
"Nov 21, 2022",284
"Nov 28, 2022",287
"Dec 5, 2022",586
"Dec 12, 2022",754
"Dec 19, 2022",713
"Dec 26, 2022",650
"Jan 2, 2023",677
"Jan 9, 2023",720
"Jan 16, 2023",627
"Jan 23, 2023",661
"Jan 30, 2023",606
"Feb 6, 2023",603
"Feb 13, 2023",624
"Feb 20, 2023",585
"Feb 27, 2023",535
"Mar 6, 2023",513
"Mar 13, 2023",435
"Mar 20, 2023",596
"Mar 27, 2023",553
"Apr 3, 2023",490
"Apr 10, 2023",380
"Apr 17, 2023",478
"Apr 24, 2023",647
"May 1, 2023",601
"May 8, 2023",603
"May 15, 2023",378
"May 22, 2023",293
"May 29, 2023",389
"Jun 5, 2023",404
"Jun 12, 2023",484
"Jun 19, 2023",433
"Jun 26, 2023",510
"Jul 3, 2023",464
"Jul 10, 2023",485
"Jul 17, 2023",444
"Jul 24, 2023",522
"Jul 31, 2023",573
"Aug 7, 2023",505
"Aug 14, 2023",541
"Aug 21, 2023",611
"Aug 28, 2023",721
"Sep 4, 2023",589
"Sep 11, 2023",461
"Sep 18, 2023",438
"Sep 25, 2023",491
"Oct 2, 2023",530
"Oct 9, 2023",543
"Oct 16, 2023",582
"Oct 23, 2023",464
"Oct 30, 2023",403
"Nov 6, 2023",439
"Nov 13, 2023",409
"Nov 20, 2023",398
"Nov 27, 2023",382
"Dec 4, 2023",398
"Dec 11, 2023",459
"Dec 18, 2023",429
"Dec 25, 2023",207
"Jan 1, 2024",367
"Jan 8, 2024",365
"Jan 15, 2024",379
"Jan 22, 2024",369
"Jan 29, 2024",425
"Feb 5, 2024",419
"Feb 12, 2024",413
"Feb 19, 2024",424
"Feb 26, 2024",405